z_[m]	m_[kg/m]	x_cg_[m]	y_cg_[m]	ri_x_[m]	ri_y_[m]	x_sh_[m]	y_sh_[m]	E_[N/m^2]	G_[N/m^2]	I_x_[m^4]	I_y_[m^4]	I_p_[m^4]	k_x_[-]	k_y_[-]	A_[m^2]	pitch_[deg]	x_e_[m]	y_e_[m]
0.0000E+00	1.4146E+03	2.8800E-03	0.0000E+00	6.3600E-01	8.3200E-01	2.8800E-03	0.0000E+00	1.8000E+11	3.9200E+09	3.1900E-02	4.0900E-02	5.6700E-01	5.0000E-01	5.0000E-01	3.0400E-01	0.0000E+00	2.8800E-03	0.0000E+00
1.8800E+00	6.1226E+02	2.4200E-04	5.9400E-02	6.3600E-01	8.2000E-01	-1.6400E-03	5.9400E-02	1.8000E+11	3.1500E+09	2.6700E-02	3.3200E-02	5.7300E-01	5.0000E-01	5.0000E-01	3.1700E-01	-1.4800E-01	-1.6400E-03	5.9400E-02
4.0000E+00	4.2229E+02	5.1400E-02	-8.3600E-02	6.1700E-01	8.1200E-01	6.7400E-02	-8.3600E-02	1.8000E+11	1.8200E+09	1.5400E-02	1.9900E-02	5.7200E-01	5.0000E-01	5.0000E-01	3.2400E-01	1.5300E+01	6.7400E-02	-8.3600E-02
6.0000E+00	3.0635E+02	6.2600E-02	1.5600E-01	5.3700E-01	8.1000E-01	9.4600E-02	1.5800E-01	1.8000E+11	1.6900E+09	8.8900E-03	1.5200E-02	3.9600E-01	5.0000E-01	5.0000E-01	2.6300E-01	-5.9400E+00	9.4600E-02	1.5800E-01
8.0000E+00	2.6180E+02	8.2700E-02	1.7400E-01	4.5200E-01	7.8800E-01	1.4100E-01	1.7300E-01	1.8000E+11	1.6400E+09	5.0600E-03	1.1500E-02	1.3900E-01	5.0000E-01	5.0000E-01	2.2900E-01	-5.5400E+00	1.4100E-01	1.7300E-01
1.0000E+01	2.6070E+02	1.4800E-01	1.6700E-01	3.6800E-01	8.2100E-01	2.0500E-01	1.6600E-01	1.8000E+11	1.7200E+09	3.4900E-03	1.3000E-02	9.8500E-02	5.0000E-01	5.0000E-01	2.2300E-01	-3.1700E+00	2.0500E-01	1.6600E-01
1.2000E+01	2.6620E+02	1.7500E-01	1.3500E-01	3.1100E-01	7.5800E-01	2.1400E-01	1.3500E-01	1.8000E+11	1.7900E+09	2.4500E-03	1.1000E-02	5.8300E-02	5.0000E-01	5.0000E-01	2.1500E-01	-7.6000E-01	2.1400E-01	1.3500E-01
1.4000E+01	2.5850E+02	1.9400E-01	8.9500E-02	2.5600E-01	7.0300E-01	2.3800E-01	9.0500E-02	1.8000E+11	1.9400E+09	1.7200E-03	9.7100E-03	3.8600E-02	5.0000E-01	5.0000E-01	2.0000E-01	2.2000E-01	2.3800E-01	9.0500E-02
1.6000E+01	2.4530E+02	1.8700E-01	6.2900E-02	2.1600E-01	6.4300E-01	2.4500E-01	6.2800E-02	1.8000E+11	2.0600E+09	1.2000E-03	7.9900E-03	2.3400E-02	5.0000E-01	5.0000E-01	1.8000E-01	4.0000E-01	2.4500E-01	6.2800E-02
1.8000E+01	2.3540E+02	1.9500E-01	4.4800E-02	1.8500E-01	5.7800E-01	2.6200E-01	4.5800E-02	1.8000E+11	2.2000E+09	8.6800E-04	6.3400E-03	1.6000E-02	5.0000E-01	5.0000E-01	1.6300E-01	4.3000E-01	2.6200E-01	4.5800E-02
1.9200E+01	2.2220E+02	2.0200E-01	3.8500E-02	1.7000E-01	5.4700E-01	2.7500E-01	3.8800E-02	1.8000E+11	2.2800E+09	7.0800E-04	5.4800E-03	1.3200E-02	5.0000E-01	5.0000E-01	1.4900E-01	3.8600E-01	2.7500E-01	3.8800E-02
2.2000E+01	2.0460E+02	2.0200E-01	2.6700E-02	1.3800E-01	4.8000E-01	2.7100E-01	2.6700E-02	1.8000E+11	2.4000E+09	4.3400E-04	3.9600E-03	8.3700E-03	5.0000E-01	5.0000E-01	1.3000E-01	1.8000E-01	2.7100E-01	2.6700E-02
2.4000E+01	1.9030E+02	2.1000E-01	1.9000E-02	1.2000E-01	4.5300E-01	2.6700E-01	2.0000E-02	1.8000E+11	2.4600E+09	3.1300E-04	3.3300E-03	6.0500E-03	5.0000E-01	5.0000E-01	1.2000E-01	1.8000E-01	2.6700E-01	2.0000E-02
2.6000E+01	1.6115E+02	2.0400E-01	1.2700E-02	1.0700E-01	4.3300E-01	2.4600E-01	1.3700E-02	1.8000E+11	2.4700E+09	2.0600E-04	2.5100E-03	4.4400E-03	5.0000E-01	5.0000E-01	1.0000E-01	2.7000E-01	2.4600E-01	1.3700E-02
2.8000E+01	1.3585E+02	1.9500E-01	9.4800E-03	9.6400E-02	4.2800E-01	2.3200E-01	9.4800E-03	1.8000E+11	2.3900E+09	1.3800E-04	2.0400E-03	3.6600E-03	5.0000E-01	5.0000E-01	8.8800E-02	1.5000E-01	2.3200E-01	9.4800E-03
3.0000E+01	1.1605E+02	1.8200E-01	6.1400E-03	8.8500E-02	4.0300E-01	2.2000E-01	6.1400E-03	1.8000E+11	2.3600E+09	9.1500E-05	1.4200E-03	2.8100E-03	5.0000E-01	5.0000E-01	7.4100E-02	1.3000E-01	2.2000E-01	6.1400E-03
3.2000E+01	8.6790E+01	1.7300E-01	3.8900E-03	8.1200E-02	3.8100E-01	2.0400E-01	2.8900E-03	1.8000E+11	1.8500E+09	4.4900E-05	7.4400E-04	1.9600E-03	5.0000E-01	5.0000E-01	5.6800E-02	2.6000E-01	2.0400E-01	2.8900E-03
3.4000E+01	6.2700E+01	1.7500E-01	1.3900E-04	7.3200E-02	3.4500E-01	1.9700E-01	1.3900E-04	1.8000E+11	1.6600E+09	2.1100E-05	3.5100E-04	1.1300E-03	5.0000E-01	5.0000E-01	4.1800E-02	4.7000E-01	1.9700E-01	1.3900E-04
3.6000E+01	5.0160E+01	1.3700E-01	-1.0100E-03	5.9000E-02	2.7800E-01	1.4700E-01	-1.0100E-03	1.8000E+11	1.8000E+09	8.8400E-06	1.4700E-04	5.1800E-04	5.0000E-01	5.0000E-01	2.7300E-02	4.5000E-01	1.4700E-01	-1.0100E-03
3.7000E+01	4.2350E+01	1.3300E-01	6.4600E-04	4.2400E-02	2.2600E-01	1.3800E-01	6.3000E-04	1.8000E+11	2.2000E+09	4.7300E-06	8.4700E-05	2.8000E-04	5.0000E-01	5.0000E-01	1.8000E-02	-2.9000E-01	1.3800E-01	6.3000E-04
3.8000E+01	3.4540E+01	9.0300E-02	2.6400E-03	2.5700E-02	1.7400E-01	8.8300E-02	2.6400E-03	1.8000E+11	2.6000E+09	6.3000E-07	2.1600E-05	4.2700E-05	5.0000E-01	5.0000E-01	8.7600E-03	-1.1000E-01	8.8300E-02	2.6400E-03
3.8400E+01	1.7820E+01	6.7500E-02	3.7100E-03	1.6600E-02	1.1200E-01	6.6500E-02	3.7400E-03	1.8000E+11	2.6000E+09	3.1600E-07	1.0800E-05	4.2700E-05	5.0000E-01	5.0000E-01	5.3800E-03	1.2000E+00	6.6500E-02	3.7400E-03
3.8800E+01	1.1000E+00	-2.2600E-02	-1.5800E-03	7.5000E-03	5.0000E-02	-2.2600E-02	-1.5800E-03	1.8000E+11	2.6000E+09	5.1700E-10	6.8900E-10	4.2700E-05	5.0000E-01	5.0000E-01	2.0000E-03	4.9300E+00	-2.2600E-02	-1.5800E-03
